,BIN Number,Inspector ID,R.Section of Law,R.I_CODE,R.New I_CODE
594,3191536,2884,17,7,6
595,3010094,3102,17,7,6
596,4607281,2783,17,7,6
597,3006500,3163,17,7,6
598,3077043,3102,17,7,6
599,3107004,3084,17,7,6
600,2001531,3064,17,7,6
601,1080067,3047,17,7,6
602,3322792,2984,17,7,6
603,3107441,2865,17,7,6
604,2127129,3141,17,7,6
605,1086089,3050,17,7,6
606,4282538,2841,17,7,6
607,1010329,3047,17,7,6
608,1000797,2829,17,7,6
609,1050342,3141,17,7,6
610,3141164,2884,17,7,6
611,2015305,3053,17,7,6
612,3329934,2879,17,7,6
613,1051265,3075,17,7,6
614,4448976,2987,17,7,6
615,1041883,3075,17,7,6
616,1082708,2884,17,7,6
617,3001020,2868,17,7,6
618,1041317,2865,17,7,6
619,1051265,2783,17,7,6
620,4617925,2941,17,7,6
621,1041883,3086,17,7,6
622,1053192,3086,17,7,6
623,2123412,2989,17,7,6
624,4005166,3050,17,7,6
625,1080576,2980,17,7,6
626,1041883,3048,17,7,6
627,1053192,3141,17,7,6
628,4147493,3047,17,7,6
629,1062454,3141,17,7,6
630,1063614,2865,17,7,6
631,3424751,2884,17,7,6
632,3060751,2884,17,7,6
633,3424092,2841,17,7,6
634,1090376,3048,17,7,6
635,4622994,3053,17,7,6
636,3117945,3102,17,7,6
637,3426412,3102,17,7,6
638,1005637,3117,17,7,6
639,1014007,3141,17,7,6
640,3424222,2865,17,7,6
641,3029288,3048,17,7,6
642,1047434,2941,17,7,6
643,3048062,2881,17,7,6
644,3421880,3048,17,7,6
645,4607281,3050,17,7,6
646,1021933,2941,17,7,6
647,1014262,3141,17,7,6
648,3137583,2801,17,7,6
649,3254894,2783,17,7,6
650,1042760,2783,17,7,6
651,1080576,3141,17,7,6
652,4075055,2783,17,7,6
653,3062992,2879,17,7,6
654,4618650,2987,17,7,6
655,1030037,2884,17,7,6
656,3029988,2829,17,7,6
657,3331875,2841,17,7,6
658,1078397,2865,17,7,6
659,3059946,3053,17,7,6
660,3398091,2783,17,7,6
661,1007179,2958,17,7,6
662,3000479,3050,17,7,6
663,1009108,3048,17,7,6
664,1002657,2958,17,7,6
665,3044710,2987,17,7,6
666,1003142,2783,17,7,6
667,3426286,2879,17,7,6
668,1080615,2868,17,7,6
669,4617466,2841,17,7,6
670,1058249,2868,17,7,6
671,3017308,2796,17,7,6
672,1084121,2868,17,7,6
673,3331875,2879,17,7,6
674,4042646,3047,17,7,6
675,3044710,2879,17,7,6
676,3044162,2987,17,7,6
677,3080287,3050,17,7,6
678,3399044,2958,17,7,6
679,3063858,2989,17,7,6
680,3397264,2941,17,7,6
681,3053921,2987,17,7,6
682,3425985,2982,17,7,6
683,3077210,3053,17,7,6
684,3075156,2987,17,7,6
685,3418318,3044,17,7,6
686,4619039,3055,17,7,6
687,3327047,2879,17,7,6
688,1090742,3050,17,7,6
689,4620027,2783,17,7,6
690,1084784,2783,17,7,6
691,1045173,2783,17,7,6
692,4115903,2783,17,7,6
693,3176271,2941,17,7,6
694,3426536,2884,17,7,6
695,3426817,2801,17,7,6
696,4192963,2879,17,7,6
697,4607498,2987,17,7,6
698,3424146,2884,17,7,6
699,4622992,3047,17,7,6
700,1014557,3048,17,7,6
701,3326192,2982,17,7,6
702,3044849,2989,17,7,6
703,1036469,3086,17,7,6
704,1036469,3116,17,7,6
705,1084068,3075,17,7,6
706,1055265,2865,17,7,6
707,1084068,3085,17,7,6
708,1077417,3068,17,7,6
709,1001399,2868,17,7,6
710,1056393,2796,17,7,6
711,1077415,3048,17,7,6
712,1077417,3048,17,7,6
713,1077412,3048,17,7,6
714,1012860,3050,17,7,6
715,1012860,3050,17,7,6
716,1018010,3053,17,7,6
717,1001004,3141,17,7,6
718,3426411,3048,17,7,6
719,3425624,2829,17,7,6
720,4303321,2829,17,7,6
721,1008629,2989,17,7,6
722,1090874,3047,17,7,6
723,3072833,3049,17,7,6
724,3072833,3084,17,7,6
725,3336057,3085,17,7,6
726,2124434,2989,17,7,6
727,1062935,2868,17,7,6
728,3024134,3085,17,7,6
729,1009137,2982,17,7,6
730,3076387,3131,17,7,6
731,3425802,3050,17,7,6
732,4607819,3084,17,7,6
733,1063542,3086,17,7,6
734,3140654,2987,17,7,6
735,2128412,3044,17,7,6
736,3425914,3047,17,7,6
737,1064211,2868,17,7,6
738,3414205,3047,17,7,6
739,1063542,2868,17,7,6
740,3425049,3048,17,7,6
741,3426284,3050,17,7,6
742,1009749,3047,17,7,6
743,4115152,2881,17,7,6
744,3051774,3085,17,7,6
745,3014335,2982,17,7,6
746,3425925,3050,17,7,6
747,3062928,3129,17,7,6
748,3100403,2829,17,7,6
749,3116646,2984,17,7,6
750,3321629,3076,17,7,6
751,3388699,3048,17,7,6
752,3424987,3044,17,7,6
753,3064674,2796,17,7,6
754,3044517,3085,17,7,6
755,3049541,2783,17,7,6
756,3321629,3080,17,7,6
757,3045860,3077,17,7,6
758,3426770,3050,17,7,6
759,4438162,3053,17,7,6
760,1085352,3048,17,7,6
761,4121377,2884,17,7,6
762,3055633,3085,17,7,6
763,3425612,2829,17,7,6
764,3326359,2982,17,7,6
765,3196580,2783,17,7,6
766,5016487,2984,17,7,6
767,1003564,3047,17,7,6
768,3179480,2881,17,7,6
769,3063705,3044,17,7,6
770,4042525,3084,17,7,6
771,3426522,3102,17,7,6
772,3063858,2801,17,7,6
773,5166680,3055,17,7,6
774,3077434,2841,17,7,6
775,3029483,3085,17,7,6
776,3063931,3044,17,7,6
777,3064011,3044,17,7,6
778,3331091,2884,17,7,6
779,3049793,3077,17,7,6
780,1090409,2868,17,7,6
781,3140881,2884,17,7,6
782,3051108,2868,17,7,6
783,3418116,3050,17,7,6
784,3106594,2884,17,7,6
785,3426102,2978,17,7,6
786,3813949,2774,17,7,6
787,1009749,3047,17,7,6
788,3063397,3048,17,7,6
789,3321629,2881,17,7,6
790,1050359,3096,17,7,6
791,4000491,2865,17,7,6
792,1050359,2884,17,7,6
793,3000220,3055,17,7,6
794,4618183,2987,17,7,6
795,1045974,2801,17,7,6
796,4053651,2976,17,7,6
797,1004006,3077,17,7,6
798,3059262,3084,17,7,6
799,1050359,2884,17,7,6
800,3116844,2884,17,7,6
801,3019525,3048,17,7,6
802,1091579,2868,17,7,6
803,1090820,3050,17,7,6
804,3426022,3048,17,7,6
805,1046925,3141,17,7,6
806,1090639,3116,17,7,6
807,3059939,2987,17,7,6
808,3009782,2984,17,7,6
809,4079307,2881,17,7,6
810,4177577,2884,17,7,6
811,4210124,2841,17,7,6
812,4614924,2879,17,7,6
813,1063614,2868,17,7,6
814,3059855,2989,17,7,6
815,1027366,2884,17,7,6
816,4607552,3047,17,7,6
817,1088692,2989,17,7,6
818,3148116,2881,17,7,6
819,1064203,2619,17,7,6
820,4617764,2879,17,7,6
821,3426102,2982,17,7,6
822,4015572,3084,17,7,6
823,1064203,2839,17,7,6
824,1064203,2839,17,7,6
825,3425737,3048,17,7,6
826,4015251,3084,17,7,6
827,1022616,3053,17,7,6
828,3137744,3055,17,7,6
829,3060760,2865,17,7,6
830,4018042,2884,17,7,6
831,3136388,2989,17,7,6
832,1064203,2619,17,7,6
833,4618904,3141,17,7,6
834,3005226,3047,17,7,6
835,4619565,3133,17,7,6
836,3421365,2881,17,7,6
837,3421367,2881,17,7,6
838,4617924,3050,17,7,6
839,4619694,3050,17,7,6
840,2128732,2868,17,7,6
841,3426592,2783,17,7,6
842,1064203,2868,17,7,6
843,3012274,3044,17,7,6
844,1001406,3086,17,7,6
845,3229646,3085,17,7,6
846,3057558,3048,17,7,6
847,4072423,2884,17,7,6
848,1059488,3047,17,7,6
849,3056030,3048,17,7,6
850,3425084,2984,17,7,6
851,3057324,3044,17,7,6
852,3323961,3047,17,7,6
853,3426056,2987,17,7,6
854,4008677,3044,17,7,6
855,4595634,3059,17,7,6
856,4617822,3059,17,7,6
857,3039681,3047,17,7,6
858,4311413,2884,17,7,6
859,1001406,3068,17,7,6
860,1084029,3080,17,7,6
861,3425783,3051,17,7,6
862,5006645,3044,17,7,6
863,3159643,2984,17,7,6
864,3030669,2829,17,7,6
865,4617822,3059,17,7,6
866,4619457,2879,17,7,6
867,4619565,2987,17,7,6
868,3138751,2984,17,7,6
869,3042894,2879,17,7,6
870,3336057,3048,17,7,6
871,3338648,2989,17,7,6
